ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
17E534,KS,Harper,077,2025-11-17,0,,,,,,,,,,,,,,159,125
17E597,KS,Barber,007,2025-09-01,0,,,,,,,,,,,,,,19,18
17E658,KS,Phillips,147,2026-03-09,0,,,,,,,,,,,,,,157,126
185005,KY,Calloway,035,2025-05-05,1,2025-03-24,42,0.170236,0.326553,3.702621,0.494092,0.133444,0.127821,0.175094,0.098327,0.042569,0.26087,127.521739,15,10
185049,KY,Logan,141,2026-03-02,0,,,,,,,,,,,,,,32,24
185118,KY,Hardin,093,2026-03-23,0,,,,,,,,,,,,,,0,0
185122,KY,Jefferson,111,2025-08-25,0,,,,,,,,,,,,,,6,5
185155,KY,Rowan,205,2025-05-19,0,,,,,,,,,,,,,,80,54
185165,KY,Jefferson,111,2025-12-08,1,2025-06-16,175,0.174759,1.775213,3.825019,0.483695,0.126455,0.128776,0.16803,0.126241,0.212898,0.25,103.0,39,30
185174,KY,Boone,015,2025-11-10,0,,,,,,,,,,,,,,39,29
185174,KY,Boone,015,2026-01-12,0,,,,,,,,,,,,,,39,29
185176,KY,Jefferson,111,2025-11-17,0,,,,,,,,,,,,,,81,58
185178,KY,Jefferson,111,2025-08-11,1,2025-05-19,84,0.16894,0.0,3.883977,0.504052,0.129777,0.168223,0.160514,0.086077,0.035219,0.184783,166.065217,6,6
185208,KY,Campbell,037,2025-07-21,0,,,,,,,,,,,,,,80,54
185221,KY,Magoffin,153,2025-05-12,1,2025-03-24,49,0.184439,0.163204,3.086241,0.505136,0.163673,0.013893,0.10181,0.074408,0.024605,0.978261,110.967391,39,26
185221,KY,Magoffin,153,2025-05-26,1,2025-03-24,63,0.184439,0.163204,3.086241,0.505136,0.163673,0.013893,0.10181,0.074408,0.024605,0.978261,110.967391,39,25
185232,KY,Whitley,235,2026-01-19,0,,,,,,,,,,,,,,81,58
185253,KY,Carter,043,2025-08-25,1,2025-03-24,154,0.209728,0.185973,3.074466,0.261874,0.085177,0.139354,0.259205,0.141049,0.042813,0.858696,114.467391,39,25
185261,KY,Greenup,089,2026-03-09,1,2025-09-15,175,0.182883,0.142342,3.514099,0.451053,0.128355,0.083119,0.176642,0.131016,0.175395,0.422222,109.244444,39,34
185309,KY,Grayson,085,2025-08-11,1,2025-03-24,140,0.169627,0.0,3.169386,0.491096,0.15495,0.0,0.212937,0.140432,-0.03182,0.75,66.26087,64,52
185310,KY,Jefferson,111,2025-08-11,0,,,,,,,,,,,,,,9,9
185359,KY,Robertson,201,2025-03-31,0,,,,,,,,,,,,,,63,50
185389,KY,Harrison,097,2025-07-21,1,2025-03-24,119,0.225539,0.0,1.477461,0.579472,0.392208,0.085717,0.046212,0.221099,-0.339998,1.0,65.923913,64,52
185468,KY,Jefferson,111,2025-12-08,1,2025-06-16,175,0.180422,0.299508,3.024209,0.286057,0.094589,0.000521,0.127702,0.090327,-0.063456,0.978261,79.358696,81,59
185484,KY,Campbell,037,2025-08-11,0,,,,,,,,,,,,,,39,24
195210,LA,Jefferson,051,2025-04-14,0,,,,,,,,,,,,,,63,40
195258,LA,East Feliciana,037,2025-06-09,1,2025-03-24,77,0.174334,0.562789,3.337277,0.132348,0.039658,0.010471,0.234172,0.136574,0.0118,0.543478,118.358696,65,40
195297,LA,St. Tammany,103,2025-06-09,0,,,,,,,,,,,,,,65,39
195350,LA,Caddo,017,2025-12-01,1,2025-06-09,175,0.191805,0.997951,3.106888,0.257057,0.082738,0.0,0.122044,0.07683,0.035367,0.967391,173.586957,2,0
195393,LA,Richland,083,2025-09-22,0,,,,,,,,,,,,,,55,31
195420,LA,Rapides,079,2025-04-07,0,,,,,,,,,,,,,,77,55
195431,LA,Calcasieu,019,2026-03-23,0,,,,,,,,,,,,,,0,0
195445,LA,Avoyelles,009,2025-05-26,0,,,,,,,,,,,,,,53,31
195445,LA,Avoyelles,009,2025-11-24,0,,,,,,,,,,,,,,55,34
195460,LA,Iberia,045,2026-03-23,0,,,,,,,,,,,,,,0,0
195508,LA,West Feliciana,125,2025-04-14,1,2025-03-24,21,0.224435,1.007586,2.952926,0.28675,0.097107,0.133015,0.09211,0.091613,0.14315,0.978261,97.815217,77,56
195510,LA,Lincoln,061,2025-05-05,0,,,,,,,,,,,,,,15,12
195510,LA,Lincoln,061,2025-06-02,0,,,,,,,,,,,,,,15,10
195519,LA,Caddo,017,2025-05-12,0,,,,,,,,,,,,,,51,33
195533,LA,Caddo,017,2026-03-16,0,,,,,,,,,,,,,,77,52
195588,LA,St. Landry,097,2025-03-31,0,,,,,,,,,,,,,,51,33
195594,LA,Bossier,015,2025-09-01,1,2025-03-24,161,0.220561,1.113567,3.42547,0.145056,0.042346,0.283096,0.133471,0.088023,0.117453,0.554348,121.847826,65,39
195599,LA,W. Baton Rouge,121,2026-03-16,1,2025-09-22,175,0.20579,0.433274,2.878388,0.114925,0.039927,0.030237,0.170794,0.105046,0.006102,0.988889,117.988889,64,45
195604,LA,Bossier,015,2025-06-02,1,2025-03-24,70,0.184724,0.0,3.172503,0.122315,0.038555,0.040965,0.21118,0.134043,0.006188,0.782609,71.358696,53,32
195620,LA,Pointe Coupee,077,2025-09-01,1,2025-03-24,161,0.175056,0.0,3.355108,0.137993,0.041129,0.001359,0.152173,0.093818,0.07817,0.619565,86.826087,80,51
205031,ME,Penobscot,019,2025-05-05,1,2025-03-24,42,0.169527,0.0,3.448466,0.872848,0.253112,0.111473,0.080841,0.074993,-0.011534,0.532609,75.728261,13,9
205063,ME,Androscoggin,001,2025-05-05,0,,,,,,,,,,,,,,13,8
205063,ME,Androscoggin,001,2025-08-11,0,,,,,,,,,,,,,,13,8
205065,ME,York,031,2025-07-28,0,,,,,,,,,,,,,,24,19
205068,ME,Cumberland,005,2025-05-12,0,,,,,,,,,,,,,,9,9
205068,ME,Cumberland,005,2025-10-27,0,,,,,,,,,,,,,,9,9
205069,ME,Franklin,007,2025-07-28,1,2025-03-24,126,0.182626,0.0,3.136928,0.97803,0.31178,0.115753,0.086285,0.08026,-0.016927,0.956522,77.23913,13,9
205099,ME,Oxford,017,2025-05-12,0,,,,,,,,,,,,,,22,19
205103,ME,York,031,2025-03-31,1,2025-03-24,7,0.176813,0.0,4.227603,0.683199,0.161604,0.40791,0.136649,0.084169,0.023686,0.043478,84.391304,13,9
205109,ME,Washington,029,2025-06-23,0,,,,,,,,,,,,,,22,19
205114,ME,Aroostook,003,2025-04-07,0,,,,,,,,,,,,,,22,19
205136,ME,York,031,2025-07-07,0,,,,,,,,,,,,,,24,19
205151,ME,Aroostook,003,2026-02-02,0,,,,,,,,,,,,,,21,20
215024,MD,Prince Georges,033,2025-04-28,1,2025-03-24,35,0.184366,0.0,3.039731,0.508907,0.167418,0.0,0.217023,0.116092,-0.020507,0.956522,159.565217,17,9
215033,MD,Baltimore City,510,2025-11-17,0,,,,,,,,,,,,,,5,4
215043,MD,Montgomery,031,2026-02-09,1,2025-08-18,175,0.17803,0.309141,3.312279,0.514113,0.155214,0.032867,0.1949,0.104764,0.051198,0.522222,135.411111,35,19
215044,MD,Baltimore City,510,2025-08-25,1,2025-05-19,98,0.193673,0.180192,3.661091,0.831496,0.227117,0.383946,0.164941,0.228037,-0.137534,0.358696,130.402174,35,18
