make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
NISSAN,ROGUE,2014,ELECTRICAL SYSTEM,2023-02-16,23V093000,1,2022-08-25,175,0.029584,4.0,0.912281,-1.0,0.0,0.0,205,0
MINI,COOPER S,2007,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,8,0
VOLKSWAGEN,PASSAT,2006,AIR BAGS,2024-10-24,24V834000,1,2024-05-02,175,0.009208,1.0,4.333333,0.0,0.0,1.0,11,0
HYUNDAI,GENESIS COUPE,2011,SERVICE BRAKES,2023-09-21,23V651000,1,2023-03-30,175,0.02008,1.0,2.166667,-1.0,0.0,0.0,121,0
RAM,1500,2014,FUEL/PROPULSION SYSTEM,2022-06-09,22V406000,1,2021-12-16,175,0.029011,2.0,0.722222,0.0,0.0,0.0,75,0
BMW,328XI,2013,ENGINE,2024-08-08,24V608000,0,,,,,,,,,95,0
MINI,COOPER,2010,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,18,0
FORD,EXPLORER,2014,STRUCTURE,2024-01-18,24V031000,1,2023-07-27,175,0.030242,5.0,0.984848,2.0,0.0,0.2,441,0
NISSAN,PATHFINDER HYBRID,2014,FUEL/PROPULSION SYSTEM,2021-09-30,21V774000,0,,,,,,,,,214,0
EVENFLO,MAESTRO,9999,CHILD SEAT,2025-03-13,25C003000,0,,,,,,,,,21,0
BMW,328I,2011,AIR BAGS,2024-06-27,24V513000,1,2024-01-04,175,0.011363,2.0,4.333333,0.0,0.0,0.5,86,0
NISSAN,VERSA,2011,AIR BAGS,2022-08-04,22E066000,1,2022-04-21,105,0.024426,1.0,1.444444,1.0,0.0,0.0,123,0
JEEP,CHEROKEE,2014,ELECTRICAL SYSTEM,2023-05-11,23V338000,1,2022-11-17,175,0.029236,8.0,1.444444,2.0,0.0,0.375,122,0
CHEVROLET,CRUZE,2014,AIR BAGS,2023-09-14,23V674000,1,2023-03-23,175,0.026258,2.0,1.733333,0.0,1.0,1.0,338,0
CHEVROLET,CRUZE,2014,AIR BAGS,2023-12-21,23V870000,1,2023-06-29,175,0.027863,1.0,0.722222,0.0,0.0,0.0,314,0
CHEVROLET,CRUZE,2014,AIR BAGS,2025-11-06,25V764000,0,,,,,,,,,239,0
NISSAN,VERSA,2010,AIR BAGS,2022-08-04,22E066000,1,2022-02-10,175,0.023913,1.0,1.444444,0.0,0.0,0.0,97,0
MAZDA,RX-8,2009,FUEL/PROPULSION SYSTEM,2021-09-23,21V744000,0,,,,,,,,,54,0
FORD,RANGER,2005,AIR BAGS,2023-02-23,23V125000,1,2023-02-09,14,0.013191,1.0,4.333333,1.0,0.0,0.0,86,0
FORD,RANGER,2005,AIR BAGS,2023-04-27,23V306000,1,2023-02-09,77,0.013191,1.0,4.333333,1.0,0.0,0.0,94,0
KIA,SOUL,2014,AIR BAGS,2022-02-17,22V096000,1,2021-08-26,175,0.02144,2.0,1.733333,1.0,0.5,1.0,162,0
BMW,X5 SAV,2008,ENGINE,2022-02-24,22V119000,0,,,,,,,,,71,0
HYUNDAI,ELANTRA,2012,SERVICE BRAKES,2023-09-21,23V651000,1,2023-05-25,119,0.020954,1.0,2.166667,1.0,0.0,0.0,169,0
TOYOTA,SEQUOIA,2004,SUSPENSION,2022-01-13,22E002000,0,,,,,,,,,133,0
BMW,335I,2007,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,36,0
FORD,EXPLORER,2014,SUSPENSION,2021-07-15,21V537000,1,2021-01-21,175,0.023826,2.0,0.866667,0.0,0.0,0.5,444,0
BMW,5 SERIES,2006,ENGINE,2022-02-24,22V119000,0,,,,,,,,,52,0
